,0,,,,,,,,x,y
,,,,,,,,,195.344,0.711368041
,,,,,,,,,195.751,0.308867299
,,,,,,,,,195.79,0.473767218
,,,,,,,,,196.669,0.396368781
,,,,,,,,,197.193,0.473767218
,,,,,,,,,197.249,0.607102369
,,,,,,,,,198.465,0.5
,,,,,,,,,199.985,0.5
,,,,,,,,,200.299,0.890142453
,,,,,,,,,200.494,0.473767218
,,,,,,,,,200.958,0.473767218
,,,,,,,,,201.519,0.728990958
,,,,,,,,,202.219,0.241321866
,,,,,,,,,202.553,0.868421053
,,,,,,,,,202.652,0.276530124
,,,,,,,,,202.78,0.507293122
,,,,,,,,,202.839,0.824849806
,,,,,,,,,203.546,0.26829589
,,,,,,,,,204.259,0.973119565
,,,,,,,,,206.383,0.406993556
,,,,,,,,,206.615,0.526232782
,,,,,,,,,207.218,0.011268554
,,,,,,,,,207.356,0.811886835
,,,,,,,,,208.019,0.275
,,,,,,,,,208.328,0.526232782
,,,,,,,,,208.492,0.5
,,,,,,,,,210.365,0.396368781
,,,,,,,,,211.05,0.2
,,,,,,,,,211.931,0.275
,,,,,,,,,212.187,0.565299211
,,,,,,,,,212.411,0.584918384
,,,,,,,,,213.087,0.731489388
,,,,,,,,,213.791,0.473767218
,,,,,,,,,237.004,0.088759711
,,,,,,,,,237.032,0.473767218
,,,,,,,,,237.922,0.901643589
,,,,,,,,,239.039,0.391383654
,,,,,,,,,240.15,0.753756385
,,,,,,,,,241.447,0.473767218
,,,,,,,,,243.962,0.461538462
,,,,,,,,,248.304,0.473767218
,,,,,,,,,248.655,0.473767218
,,,,,,,,,256.516,0.473767218
,,,,,,,,,261.143,0.473767218
,,,,,,,,,261.686,0.473767218
,,,,,,,,,262.951,0.353741497
,,,,,,,,,270.667,0.789584339
,,,,,,,,,278.078,0.5
,,,,,,,,,281.435,0.750062423
,,,,,,,,,282.379,0.473767218
,,,,,,,,,282.569,0.171875
,,,,,,,,,282.84,0.090909091
,,,,,,,,,284.299,0.631169787
,,,,,,,,,286.419,0.091954023
,,,,,,,,,286.639,0.631169787
,,,,,,,,,286.74,0.993155867
,,,,,,,,,291.835,0.091954023
,,,,,,,,,296.628,0.152008111
,,,,,,,,,303.333,0.640022211
,,,,,,,,,304.499,0.912087912
,,,,,,,,,305.166,0.793087452
,,,,,,,,,306.685,0.100519504
,,,,,,,,,308.414,0.999953607
,,,,,,,,,312.213,0.999421775
